,id,retweet_count,favorite_count
0,892420643555336193,8226,37750
1,892177421306343426,6079,32434
2,891815181378084864,4023,24430
3,891689557279858688,8371,41088
4,891327558926688256,9082,39282
5,891087950875897856,3008,19757
6,890971913173991426,1991,11549
7,890729181411237888,18279,63690
8,890609185150312448,4137,27140
9,890240255349198849,7147,31134
10,890006608113172480,7102,29928
11,889880896479866881,4822,27133
12,889665388333682689,9729,46903
13,889638837579907072,4389,26463
14,889531135344209921,2181,14752
15,889278841981685760,5205,24626
16,888917238123831296,4364,28411
17,888804989199671297,4148,24938
18,888554962724278272,3428,19346
19,888078434458587136,3381,21226
20,887705289381826560,5219,29465
21,887517139158093824,11338,45129
22,887473957103951883,17604,67262
23,887343217045368832,10109,32843
24,887101392804085760,5779,29829
25,886983233522544640,7528,34268
26,886736880519319552,3169,11751
27,886680336477933568,4325,21888
28,886366144734445568,3102,20670
29,886267009285017600,4,116
30,886258384151887873,6108,27310
31,886054160059072513,104,0
32,885984800019947520,6560,31821
33,885528943205470208,6230,35082
34,885518971528720385,3639,19939
35,885311592912609280,17980,0
36,885167619883638784,4256,21371
37,884925521741709313,17699,75409
38,884876753390489601,5448,27230
39,884562892145688576,4547,23690
40,884441805382717440,5493,26347
41,884247878851493888,19898,71160
42,884162670584377345,2891,19855
43,883838122936631299,3342,21352
44,883482846933004288,9634,44777
45,883360690899218434,3596,22139
46,883117836046086144,6470,36252
47,882992080364220416,3807,23363
48,882762694511734784,4759,27610
49,882627270321602560,5911,27268
50,882268110199369728,11251,43847
51,882045870035918850,4810,28616
52,881906580714921986,3299,23733
53,881666595344535552,10369,49363
54,881633300179243008,7,124
55,881536004380872706,15502,48214
56,881268444196462592,5032,22555
57,880935762899988482,2705,16640
58,880872448815771648,3717,20750
59,880465832366813184,6101,27838
60,880221127280381952,4097,26361
61,880095782870896641,4217,26951
62,879862464715927552,3397,21810
63,879674319642796034,10,300
64,879492040517615616,3091,22871
65,879415818425184262,43038,103269
66,879376492567855104,3024,16394
67,879130579576475649,6623,0
68,879050749262655488,4577,22009
69,879008229531029506,2619,18534
70,878776093423087618,4011,18959
71,878604707211726852,7000,29527
72,878404777348136964,1252,0
73,878316110768087041,6471,0
74,878281511006478336,1252,7557
75,878057613040115712,6623,41048
76,877736472329191424,18576,77770
77,877611172832227328,78,0
78,877556246731214848,3700,22202
79,877316821321428993,5052,26754
80,877201837425926144,5435,26485
81,876838120628539392,3252,20214
82,876537666061221889,4522,23006
83,876484053909872640,2331,18331
84,876120275196170240,4563,27298
85,875747767867523072,4179,24624
86,875144289856114688,4818,21446
87,875097192612077568,5909,26792
88,875021211251597312,4608,24909
89,874680097055178752,4535,27214
90,874434818259525634,14367,0
91,874296783580663808,4015,25495
92,874057562936811520,3865,22212
93,874012996292530176,10170,33786
94,873580283840344065,3849,23700
95,873337748698140672,1551,0
96,873213775632977920,1551,7085
97,872967104147763200,5302,26763
98,872820683541237760,3622,14433
99,872620804844003328,3623,20364
100,872486979161796608,8850,39890
101,872122724285648897,7980,33732
102,871879754684805121,10950,37192
103,871762521631449091,3417,19887
104,871515927908634625,3400,19841
105,871166179821445120,5601,0
106,871102520638267392,5420,20576
107,871032628920680449,3760,22292
108,870804317367881728,6111,33059
109,870726314365509632,3,117
110,870656317836468226,2603,12206
111,870374049280663552,25876,81412
112,870308999962521604,4101,21500
113,870063196459192321,8233,36068
114,869772420881756160,9917,41789
115,869702957897576449,6272,27822
116,869596645499047938,3105,15758
117,869227993411051520,3754,20178
118,868880397819494401,14323,64715
119,868639477480148993,2075,0
120,868622495443632128,5250,26385
121,868552278524837888,2075,10000
122,867900495410671616,4146,23900
123,867774946302451713,7286,33577
124,867421006826221569,2483,15937
